,subject,triplet,trials,triplet_accuracy,avg_RT,avg_repetitions,age,accuracy,age_demeaned,acc_demeaned,sex,scanner,age_group
0,temple016,1,8,0.875,5.4163625,1.375,31.1,0.9375,16.72,0.16944,M,skyra,adults
1,temple016,2,8,0.875,10.8661375,1.0,31.1,0.9375,16.72,0.16944,M,skyra,adults
2,temple016,3,8,1.0,6.5996500000000005,1.25,31.1,0.9375,16.72,0.16944,M,skyra,adults
3,temple016,4,8,1.0,6.7611375,1.125,31.1,0.9375,16.72,0.16944,M,skyra,adults
4,temple019,1,8,1.0,8.6506,1.25,26.19,0.9375,11.81,0.16944,F,skyra,adults
5,temple019,2,8,0.875,8.1511125,1.5,26.19,0.9375,11.81,0.16944,F,skyra,adults
6,temple019,3,8,1.0,8.30285,1.125,26.19,0.9375,11.81,0.16944,F,skyra,adults
7,temple019,4,8,0.875,7.494975,1.25,26.19,0.9375,11.81,0.16944,F,skyra,adults
8,temple020,1,8,0.625,10.866375,1.375,23.11,0.8125,8.73,0.04444,F,skyra,adults
9,temple020,2,8,0.875,10.21765,1.25,23.11,0.8125,8.73,0.04444,F,skyra,adults
10,temple020,3,8,0.75,9.5566875,1.125,23.11,0.8125,8.73,0.04444,F,skyra,adults
11,temple020,4,8,1.0,9.64285,1.125,23.11,0.8125,8.73,0.04444,F,skyra,adults
12,temple022,1,8,0.875,8.5567125,1.0,29.05,0.59375,14.67,-0.17431,F,skyra,adults
13,temple022,2,8,0.5,8.4072875,1.25,29.05,0.59375,14.67,-0.17431,F,skyra,adults
14,temple022,3,8,0.625,8.2749125,1.0,29.05,0.59375,14.67,-0.17431,F,skyra,adults
15,temple022,4,8,0.375,8.4673,1.0,29.05,0.59375,14.67,-0.17431,F,skyra,adults
16,temple023,1,8,0.75,10.68025,1.0,25.33,0.5625,10.95,-0.20556,F,skyra,adults
17,temple023,2,8,0.375,9.71675,1.0,25.33,0.5625,10.95,-0.20556,F,skyra,adults
18,temple023,3,8,0.75,9.0873125,1.0,25.33,0.5625,10.95,-0.20556,F,skyra,adults
19,temple023,4,8,0.375,9.343125,1.125,25.33,0.5625,10.95,-0.20556,F,skyra,adults
20,temple024,1,8,0.875,9.1821625,1.0,28.29,0.53125,13.91,-0.23681,M,skyra,adults
21,temple024,2,8,0.5,9.3869125,1.0,28.29,0.53125,13.91,-0.23681,M,skyra,adults
22,temple024,3,8,0.375,8.7178125,1.0,28.29,0.53125,13.91,-0.23681,M,skyra,adults
23,temple024,4,8,0.375,9.4437125,1.0,28.29,0.53125,13.91,-0.23681,M,skyra,adults
24,temple025,1,8,1.0,7.9850625,1.0,28.94,1.0,14.56,0.23194,F,skyra,adults
25,temple025,2,8,1.0,7.932575,1.0,28.94,1.0,14.56,0.23194,F,skyra,adults
26,temple025,3,8,1.0,7.8480375,1.0,28.94,1.0,14.56,0.23194,F,skyra,adults
27,temple025,4,8,1.0,7.8161625,1.0,28.94,1.0,14.56,0.23194,F,skyra,adults
28,temple029,1,8,1.0,9.5593,1.125,11.04,0.90625,-3.34,0.13819,F,skyra,10-12 years
29,temple029,2,8,1.0,8.8037625,1.25,11.04,0.90625,-3.34,0.13819,F,skyra,10-12 years
30,temple029,3,8,0.625,8.78055,1.25,11.04,0.90625,-3.34,0.13819,F,skyra,10-12 years
31,temple029,4,8,1.0,8.740425,1.125,11.04,0.90625,-3.34,0.13819,F,skyra,10-12 years
32,temple030,1,8,0.875,9.4777375,1.5,10.4,0.53125,-3.98,-0.23681,M,skyra,10-12 years
33,temple030,2,8,0.625,8.9982875,1.125,10.4,0.53125,-3.98,-0.23681,M,skyra,10-12 years
34,temple030,3,8,0.375,8.813975,1.875,10.4,0.53125,-3.98,-0.23681,M,skyra,10-12 years
35,temple030,4,8,0.25,11.09095,1.625,10.4,0.53125,-3.98,-0.23681,M,skyra,10-12 years
36,temple032,1,8,1.0,7.680525,1.0,12.98,1.0,-1.4,0.23194,F,skyra,10-12 years
37,temple032,2,8,1.0,6.9244375,1.0,12.98,1.0,-1.4,0.23194,F,skyra,10-12 years
38,temple032,3,8,1.0,6.36135,1.0,12.98,1.0,-1.4,0.23194,F,skyra,10-12 years
39,temple032,4,8,1.0,6.80635,1.0,12.98,1.0,-1.4,0.23194,F,skyra,10-12 years
40,temple033,1,8,0.25,9.0621625,1.125,11.4,0.46875,-2.98,-0.29931,F,skyra,10-12 years
41,temple033,2,8,0.375,7.4635375,1.0,11.4,0.46875,-2.98,-0.29931,F,skyra,10-12 years
42,temple033,3,8,0.875,7.321825,1.0,11.4,0.46875,-2.98,-0.29931,F,skyra,10-12 years
43,temple033,4,8,0.375,7.463075,1.0,11.4,0.46875,-2.98,-0.29931,F,skyra,10-12 years
44,temple034,1,4,0.25,8.516075,1.0,9.81,0.75,-4.57,-0.01806,F,skyra,7-9 years
45,temple034,2,5,1.0,8.53896,1.0,9.81,0.75,-4.57,-0.01806,F,skyra,7-9 years
46,temple034,3,2,1.0,8.5705,1.0,9.81,0.75,-4.57,-0.01806,F,skyra,7-9 years
47,temple034,4,5,0.8,9.1445,1.0,9.81,0.75,-4.57,-0.01806,F,skyra,7-9 years
48,temple035,1,8,0.375,8.1038625,1.0,11.27,0.40625,-3.11,-0.36181,F,skyra,10-12 years
49,temple035,2,8,0.125,7.96585,1.25,11.27,0.40625,-3.11,-0.36181,F,skyra,10-12 years
50,temple035,3,8,0.375,7.8780625,1.0,11.27,0.40625,-3.11,-0.36181,F,skyra,10-12 years
51,temple035,4,8,0.75,8.7277625,1.0,11.27,0.40625,-3.11,-0.36181,F,skyra,10-12 years
52,temple036,1,8,0.625,8.352525,1.0,11.04,0.90625,-3.34,0.13819,M,skyra,10-12 years
53,temple036,2,8,1.0,8.3939625,1.0,11.04,0.90625,-3.34,0.13819,M,skyra,10-12 years
54,temple036,3,8,1.0,9.4795,1.125,11.04,0.90625,-3.34,0.13819,M,skyra,10-12 years
55,temple036,4,8,1.0,8.16135,1.0,11.04,0.90625,-3.34,0.13819,M,skyra,10-12 years
56,temple037,1,8,1.0,7.7150875,1.0,24.39,1.0,10.01,0.23194,F,skyra,adults
57,temple037,2,8,1.0,7.7567875,1.0,24.39,1.0,10.01,0.23194,F,skyra,adults
58,temple037,3,8,1.0,7.263125,1.25,24.39,1.0,10.01,0.23194,F,skyra,adults
59,temple037,4,8,1.0,8.0418375,1.0,24.39,1.0,10.01,0.23194,F,skyra,adults
60,temple038,1,8,0.875,8.418875,1.0,12.19,0.65625,-2.19,-0.11181,M,skyra,10-12 years
61,temple038,2,8,1.0,8.235325,1.0,12.19,0.65625,-2.19,-0.11181,M,skyra,10-12 years
62,temple038,3,8,0.5,8.2752,1.0,12.19,0.65625,-2.19,-0.11181,M,skyra,10-12 years
63,temple038,4,8,0.25,8.990125,1.0,12.19,0.65625,-2.19,-0.11181,M,skyra,10-12 years
64,temple041,1,8,0.375,8.8552875,1.0,7.9,0.4375,-6.48,-0.33056,F,skyra,7-9 years
65,temple041,2,8,0.625,8.0912375,1.125,7.9,0.4375,-6.48,-0.33056,F,skyra,7-9 years
66,temple041,3,8,0.25,7.8895625,1.0,7.9,0.4375,-6.48,-0.33056,F,skyra,7-9 years
67,temple041,4,8,0.5,7.8272625,1.0,7.9,0.4375,-6.48,-0.33056,F,skyra,7-9 years
68,temple042,1,8,0.875,8.9982,1.0,12.19,0.9375,-2.19,0.16944,M,skyra,10-12 years
69,temple042,2,8,0.875,9.170375,1.125,12.19,0.9375,-2.19,0.16944,M,skyra,10-12 years
70,temple042,3,8,1.0,8.778925,1.0,12.19,0.9375,-2.19,0.16944,M,skyra,10-12 years
