,subject,age_group_x,roi,triplet,comparison,within_sim,across_sim,difference,trials,triplet_accuracy,avg_RT,avg_repetitions,age,sex,scanner
0,temple016,adult,sl-AB_age_gm,1,AB,0.1756189244055825,0.0127857615043523,0.1628331629012301,8,0.875,5.4163625,1.375,31.1,M,skyra
1,temple016,adult,sl-AB_age_gm,2,AB,0.1383124480400117,0.1461233355769363,-0.0078108875369246,8,0.875,10.8661375,1.0,31.1,M,skyra
2,temple016,adult,sl-AB_age_gm,3,AB,-0.1529936713184568,0.0461313680419534,-0.1991250393604102,8,1.0,6.5996500000000005,1.25,31.1,M,skyra
3,temple016,adult,sl-AB_age_gm,4,AB,0.2252754544617186,-0.0159637861677545,0.2412392406294732,8,1.0,6.7611375,1.125,31.1,M,skyra
4,temple016,adult,sl-AB_group_hip,1,AB,0.334385060366213,-0.1103209583366508,0.4447060187028638,8,0.875,5.4163625,1.375,31.1,M,skyra
5,temple016,adult,sl-AB_group_hip,2,AB,0.0220238591639509,-0.0135608541411846,0.0355847133051356,8,0.875,10.8661375,1.0,31.1,M,skyra
6,temple016,adult,sl-AB_group_hip,3,AB,-0.0860502272755621,0.027452415384361,-0.1135026426599232,8,1.0,6.5996500000000005,1.25,31.1,M,skyra
7,temple016,adult,sl-AB_group_hip,4,AB,-0.1406242349622396,-0.09697933251213,-0.0436449024501096,8,1.0,6.7611375,1.125,31.1,M,skyra
8,temple016,adult,sl-AC_age_hip,1,AC,-0.2702581568166672,-0.1579858896815752,-0.1122722671350919,8,0.875,5.4163625,1.375,31.1,M,skyra
9,temple016,adult,sl-AC_age_hip,2,AC,0.0855052063139044,-0.1249849270285868,0.2104901333424912,8,0.875,10.8661375,1.0,31.1,M,skyra
10,temple016,adult,sl-AC_age_hip,3,AC,0.0250021873336817,-0.0314478678277635,0.0564500551614453,8,1.0,6.5996500000000005,1.25,31.1,M,skyra
11,temple016,adult,sl-AC_age_hip,4,AC,0.2772827300771456,-0.0520349723598262,0.3293177024369719,8,1.0,6.7611375,1.125,31.1,M,skyra
12,temple019,adult,sl-AB_age_gm,1,AB,-0.0649333926145682,0.0057582901588409,-0.0706916827734091,8,1.0,8.6506,1.25,26.19,F,skyra
13,temple019,adult,sl-AB_age_gm,2,AB,0.1073296008431688,0.1436944971059387,-0.0363648962627699,8,0.875,8.1511125,1.5,26.19,F,skyra
14,temple019,adult,sl-AB_age_gm,3,AB,-0.3468656639986892,0.0383313787109255,-0.3851970427096147,8,1.0,8.30285,1.125,26.19,F,skyra
15,temple019,adult,sl-AB_age_gm,4,AB,0.4369628379274839,0.1921776553778307,0.2447851825496532,8,0.875,7.494975,1.25,26.19,F,skyra
16,temple019,adult,sl-AB_group_hip,1,AB,0.0928547670729865,0.1404177856996113,-0.0475630186266248,8,1.0,8.6506,1.25,26.19,F,skyra
17,temple019,adult,sl-AB_group_hip,2,AB,0.0260888001830201,0.1782483287056411,-0.152159528522621,8,0.875,8.1511125,1.5,26.19,F,skyra
18,temple019,adult,sl-AB_group_hip,3,AB,-0.0457947569553539,0.2317035212396184,-0.2774982781949723,8,1.0,8.30285,1.125,26.19,F,skyra
19,temple019,adult,sl-AB_group_hip,4,AB,-0.1664030495312579,0.170592703720783,-0.336995753252041,8,0.875,7.494975,1.25,26.19,F,skyra
20,temple019,adult,sl-AC_age_hip,1,AC,0.1245986262539286,0.0924355707680678,0.0321630554858608,8,1.0,8.6506,1.25,26.19,F,skyra
21,temple019,adult,sl-AC_age_hip,2,AC,0.2574191141628071,0.0880036843121173,0.1694154298506898,8,0.875,8.1511125,1.5,26.19,F,skyra
22,temple019,adult,sl-AC_age_hip,3,AC,0.3784116606925715,0.1836906313638483,0.1947210293287232,8,1.0,8.30285,1.125,26.19,F,skyra
23,temple019,adult,sl-AC_age_hip,4,AC,-0.1807576556956328,0.0454247095445955,-0.2261823652402283,8,0.875,7.494975,1.25,26.19,F,skyra
24,temple020,adult,sl-AB_age_gm,1,AB,0.1573673569511363,0.2076051549297049,-0.0502377979785685,8,0.625,10.866375,1.375,23.11,F,skyra
25,temple020,adult,sl-AB_age_gm,2,AB,0.0139076351788464,0.2571660792284671,-0.2432584440496207,8,0.875,10.21765,1.25,23.11,F,skyra
26,temple020,adult,sl-AB_age_gm,3,AB,0.0752568226716847,0.2006790940288425,-0.1254222713571578,8,0.75,9.5566875,1.125,23.11,F,skyra
27,temple020,adult,sl-AB_age_gm,4,AB,0.3275745806837313,0.3480223903720454,-0.0204478096883141,8,1.0,9.64285,1.125,23.11,F,skyra
28,temple020,adult,sl-AB_group_hip,1,AB,-0.4596435264037732,-0.0495048809136802,-0.4101386454900929,8,0.625,10.866375,1.375,23.11,F,skyra
29,temple020,adult,sl-AB_group_hip,2,AB,0.2146071091615729,0.0601393501294488,0.1544677590321241,8,0.875,10.21765,1.25,23.11,F,skyra
30,temple020,adult,sl-AB_group_hip,3,AB,-0.0066600117950422,0.062490619004306,-0.0691506307993482,8,0.75,9.5566875,1.125,23.11,F,skyra
31,temple020,adult,sl-AB_group_hip,4,AB,-0.0927280561570522,0.0111931027189627,-0.1039211588760149,8,1.0,9.64285,1.125,23.11,F,skyra
